{'ppo_masked_385': ([1, 86], [2, 103]), 'ppo_masked_185': ([2, 109], [1, 91]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 100], [2, 83]), 'ppo_masked_186': ([2, 96], [1, 111]), 'zeros': ([0, 4], [0, 6])}
{'ppo_masked_385': ([1, 103], [2, 92]), 'ppo_masked_187': ([2, 91], [1, 96]), 'zeros': ([0, 6], [0, 12])}
{'ppo_masked_385': ([1, 90], [2, 88]), 'ppo_masked_188': ([2, 109], [1, 106]), 'zeros': ([0, 1], [0, 6])}
{'ppo_masked_385': ([1, 108], [2, 88]), 'ppo_masked_189': ([2, 84], [1, 107]), 'zeros': ([0, 8], [0, 5])}
{'ppo_masked_385': ([1, 101], [2, 83]), 'ppo_masked_190': ([2, 97], [1, 110]), 'zeros': ([0, 2], [0, 7])}
{'ppo_masked_385': ([1, 96], [2, 84]), 'ppo_masked_191': ([2, 102], [1, 110]), 'zeros': ([0, 2], [0, 6])}
{'ppo_masked_385': ([1, 111], [2, 73]), 'ppo_masked_192': ([2, 84], [1, 120]), 'zeros': ([0, 5], [0, 7])}
{'ppo_masked_385': ([1, 103], [2, 90]), 'ppo_masked_193': ([2, 90], [1, 105]), 'zeros': ([0, 7], [0, 5])}
{'ppo_masked_385': ([1, 87], [2, 91]), 'ppo_masked_194': ([2, 112], [1, 103]), 'zeros': ([0, 1], [0, 6])}
{'ppo_masked_385': ([1, 88], [2, 82]), 'ppo_masked_195': ([2, 111], [1, 113]), 'zeros': ([0, 1], [0, 5])}
{'ppo_masked_385': ([1, 98], [2, 91]), 'ppo_masked_196': ([2, 97], [1, 100]), 'zeros': ([0, 5], [0, 9])}
{'ppo_masked_385': ([1, 119], [2, 77]), 'ppo_masked_197': ([2, 77], [1, 119]), 'zeros': ([0, 4], [0, 4])}
