gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 9.154363815628427, min opp score: 148.5830980749371, id: 39219, score: 39
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.907414930420253, min opp score: 123.3389462113348, id: 39734, score: 39
gen alive: 16, params: corner divisor: 4.806371254170825, corner exponent: 2.6609143509273148, min opp score: 139.1762947009676, danger divisor: 2.914264166191812, id: 40739, score: 39
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 19.195457219962854, min opp score: 113.04675385150676, id: 38158, score: 39
gen alive: 14, params: corner divisor: 3.8388720256400437, corner exponent: 2.998997981500411, min opp score: 201.6735042815908, danger divisor: 8.683359495753868, id: 40563, score: 39
gen alive: 14, params: corner divisor: 2.438497591931453, corner exponent: 2.998997981500411, danger divisor: 5.770843274787793, min opp score: 561.0206931060284, id: 40679, score: 39
gen alive: 13, params: danger divisor: 2.914264166191812, min opp score: 705.419937256203, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 39125, score: 39
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.998997981500411, min opp score: 336.55539216224423, danger divisor: 1.286596863030676, id: 40619, score: 39
gen alive: 11, params: corner divisor: 1.5674031545418696, corner exponent: 2.4558780495786436, danger divisor: 2.914264166191812, min opp score: 123.31513822476239, id: 40051, score: 39
gen alive: 11, params: corner divisor: 2.3841421821211117, corner exponent: 2.8664371522540826, min opp score: 994.1290582854716, chip divisor: 12.169343027282878, danger divisor: 2.7610173220029974, id: 40802, score: 39
gen alive: 10, params: corner divisor: 2.7303966804784805, corner exponent: 2.2258082345395556, min opp score: 284.6640336040204, danger divisor: 8.497148044118942, id: 39389, score: 39
gen alive: 10, params: corner divisor: 2.438497591931453, corner exponent: 2.9196664097343463, danger divisor: 7.338513870782177, min opp score: 625.0466249908968, id: 40537, score: 39
gen alive: 9, params: corner divisor: 2.862241644415418, corner exponent: 2.3899496837304257, danger divisor: 7.37650222930687, min opp score: 148.5830980749371, id: 40029, score: 39
gen alive: 9, params: corner divisor: 1.9610570744336302, corner exponent: 1.7791530163650602, danger divisor: 4.757401389740438, min opp score: 147.27842759328072, id: 40810, score: 39
gen alive: 8, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, min opp score: 181.7485407405625, danger divisor: 8.354218680011936, id: 38577, score: 39
gen alive: 6, params: corner divisor: 3.205958229241868, corner exponent: 2.2598701791750018, min opp score: 139.1762947009676, danger divisor: 4.285495015222942, id: 40585, score: 39
gen alive: 6, params: corner divisor: 7.017020504427565, corner exponent: 2.6345477388525254, min opp score: 236.4228139678173, danger divisor: 3.2260691062100193, id: 40649, score: 39
gen alive: 4, params: corner divisor: 7.679849714722699, corner exponent: 2.0437106121028235, danger divisor: 1.4941192249339745, min opp score: 372.38749032980184, id: 40423, score: 39
gen alive: 1, params: corner divisor: 2.2245316205770544, corner exponent: 2.6359301185161015, danger divisor: 2.946806807398829, min opp score: 907.5000168329335, id: 39269, score: 39
gen alive: 1, params: corner divisor: 1.924872582001383, corner exponent: 2.3335004685283973, min opp score: 998.9195710877211, danger divisor: 19.255559266052366, id: 40109, score: 39
gen alive: 1, params: corner divisor: 7.179143293953832, corner exponent: 2.3265724902175586, min opp score: 148.5830980749371, danger divisor: 6.1498925894547, id: 40145, score: 39
gen alive: 32, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 139.1762947009676, danger divisor: 1.0824483397993152, id: 37670, score: 37
gen alive: 31, params: corner divisor: 1.8908946854051345, corner exponent: 2.4558780495786436, danger divisor: 2.7610173220029974, min opp score: 148.5830980749371, id: 40257, score: 37
gen alive: 19, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 815.857349039097, danger divisor: 2.305755204698305, id: 36915, score: 37
gen alive: 14, params: corner divisor: 4.806371254170825, corner exponent: 2.6609143509273148, danger divisor: 1.286596863030676, min opp score: 284.6640336040204, id: 39777, score: 37
gen alive: 12, params: corner divisor: 6.9088958143101475, corner exponent: 2.1715885336140097, min opp score: 189.06154507642202, danger divisor: 5.03003875287192, id: 39907, score: 37
gen alive: 12, params: corner divisor: 18.12592047631882, corner exponent: 1.471168297423674, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 40421, score: 37
gen alive: 5, params: corner divisor: 2.903922453514067, corner exponent: 2.2332080320729646, danger divisor: 1.4941192249339745, min opp score: 372.38749032980184, id: 40759, score: 37
gen alive: 3, params: corner divisor: 1.4446526150119707, corner exponent: 1.9600207001808965, danger divisor: 19.835379719930373, min opp score: 216.5287543910003, id: 40641, score: 37
